org_id,num_admin_actions,dashboard_customizations,avg_collaboration_score,num_team_workspaces,active_integrations,billing_issue_flag,last_feedback_text
ORG2000,9.0,3,0.3,3,Slack,True,nan
ORG2001,6.0,2,0.03,1,None,False,nan
ORG2002,7.0,2,0.59,18,None,False,nan
ORG2003,9.0,0,0.84,15,None,False,nan
ORG2004,9.0,2,0.38,10,Slack,False,nan
ORG2005,9.0,0,0.75,9,Google Workspace,False,nan
ORG2006,6.0,,0.51,15,Teams,False,nan
ORG2007,8.0,1,0.54,19,,True,nan
ORG2008,5.0,4,99,5,Teams,False,nan
ORG2009,5.0,4,0.8,10,Teams,False,nan
ORG2010,18.0,3,0.03,1,Google Workspace,False,nan
ORG2011,12.0,3,0.71,11,None,False,nan
ORG2012,8.0,1,0.47,2,unknown,False,nan
ORG2013,5.0,2,0.95,7,Teams,False,nan
ORG2014,15.0,2,0.22,6,None,,nan
ORG2015,8.0,1,0.27,12,,False,very very satisfied
ORG2016,7.0,3,0.08,8,,False,nan
ORG2017,10.0,2,-0.5,2,None,True,nan
ORG2018,11.0,5,0.11,10,slack,False,nan
ORG2019,11.0,5,0.63,8,Google Workspace,False,nan
ORG2020,5.0,1,0.8,6,Teams,False,nan
ORG2021,12.0,1,0.7,7,slack,False,nan
ORG2022,12.0,1,0.77,11,,False,nan
ORG2023,17.0,2,0.34,8,Google Workspace,False,nan
ORG2024,15.0,3,0.85,6,Google Workspace,False,nan
ORG2025,6.0,1,0.43,7,,False,nan
ORG2026,9.0,1,0.82,5,unknown,False,nan
ORG2027,16.0,4,0.63,3,Slack,False,nan
ORG2028,12.0,2,0.14,11,None,False,nan
ORG2029,14.0,3,0.08,1,Teams,True,nan
ORG2030,12.0,1,0.02,17,slack,False,nan
ORG2031,8.0,1,0.07,4,Teams,False,nan
ORG2032,12.0,2,0.46,15,slack,False,NULL
ORG2033,9.0,2,0.11,13,Teams,False,nan
ORG2034,9.0,1,0.03,17,Google Workspace,False,nan
ORG2035,15.0,3,0.75,6,Google Workspace,,nan
ORG2036,8.0,2,0.39,18,None,False,nan
ORG2037,14.0,3,0.75,11,Slack,True,nan
ORG2038,15.0,1,0.45,12,slack,False,nan
ORG2039,6.0,4,0.45,15,Slack,False,nan
ORG2040,16.0,1,0.48,2,,False,nan
ORG2041,12.0,2,0.47,9,slack,False,nan
ORG2042,14.0,4,0.8,5,Teams,False,nan
ORG2043,10.0,0,0.4,8,Google Workspace,False,nan
ORG2044,6.0,2,0.9,1,Slack,False,nan
ORG2045,11.0,4,0.04,16,,False,nan
ORG2046,13.0,4,0.77,2,None,False,nan
ORG2047,13.0,2,0.13,8,Slack,False,nan
ORG2048,,4,0.62,2,Teams,False,nan
ORG2049,4.0,5,0.01,15,None,False,nan
ORG2050,3.0,4,0.54,14,None,True,nan
ORG2051,7.0,4,0.0,12,,False,nan
ORG2052,11.0,0,0.95,5,None,False,nan
ORG2053,11.0,3,0.91,13,,False,nan
ORG2054,7.0,3,0.8,19,Google Workspace,False,nan
ORG2055,7.0,3,0.92,6,,False,nan
ORG2056,7.0,4,0.15,4,Teams,False,nan
ORG2057,11.0,0,0.16,13,None,False,great product!
ORG2058,6.0,4,0.19,10,,False,nan
ORG2059,4.0,3,0.62,4,None,False,nan
ORG2060,,1,0.91,6,,False,nan
ORG2061,11.0,1,0.99,2,,False,nan
ORG2062,10.0,3,0.71,13,slack,False,nan
ORG2063,12.0,2,0.73,10,Teams,False,?
ORG2064,4.0,4,0.91,12,Teams,False,nan
ORG2065,11.0,2,0.4,1,,False,nan
ORG2066,13.0,4,0.25,16,Slack,False,nan
ORG2067,7.0,,0.17,9,Teams,False,nan
ORG2068,8.0,2,0.12,7,Slack,False,nan
ORG2069,12.0,1,0.81,18,Teams,False,nan
ORG2070,17.0,5,0.15,19,None,False,nan
ORG2071,15.0,2,0.26,1,Teams,False,nan
ORG2072,9.0,,1.5,7,Slack,False,nan
ORG2073,11.0,3,0.31,2,Google Workspace,False,nan
ORG2074,6.0,,0.98,17,Slack,False,nan
ORG2075,6.0,2,0.27,1,,False,nan
ORG2076,13.0,2,0.53,11,Slack,False,nan
ORG2077,6.0,1,0.31,16,Slack,False,nan
ORG2078,6.0,2,0.91,2,None,False,nan
ORG2079,10.0,0,0.37,2,Google Workspace,False,nan
ORG2080,13.0,1,0.43,7,Teams,False,nan
ORG2081,10.0,3,0.51,13,Google Workspace,False,nan
ORG2082,9.0,0,0.94,17,,False,nan
ORG2083,,2,0.03,19,Google Workspace,False,nan
ORG2084,11.0,4,0.72,14,None,False,nan
ORG2085,13.0,3,0.89,14,None,False,nan
ORG2086,11.0,3,0.03,13,,False,nan
ORG2087,11.0,1,0.52,8,Teams,True,nan
ORG2088,8.0,2,0.33,3,Google Workspace,False,nan
ORG2089,14.0,3,0.86,16,Google Workspace,False,nan
ORG2090,12.0,,0.56,6,None,False,nan
ORG2091,9.0,1,0.69,7,None,False,nan
ORG2092,9.0,1,0.45,1,Google Workspace,False,nan
ORG2093,11.0,1,0.63,5,,False,nan
ORG2094,7.0,4,0.29,3,None,False,nan
ORG2095,8.0,2,0.01,15,Google Workspace,False,nan
ORG2096,12.0,0,0.58,2,Google Workspace,False,nan
ORG2097,10.0,2,,1,Google Workspace,False,   
ORG2098,11.0,1,0.52,6,Teams,False,nan
ORG2099,10.0,4,0.92,8,,True,nan
