account_id,monthly_login_freq,num_support_tickets,contract_length_months,avg_product_usage_hours,num_users,nps_score,has_admin_activity,last_activity_days_ago,avg_session_length,feature_adoption_score,customer_satisfaction_score,city,gender,churned,is_heavy_user
A0001,21,5.0,6,28.16,58,6.390714153011232,0,5,1.51,89.98,8.42,Chicago,Female,0,1
A0002,13,5.0,6,18.7,33,0.7927356988288152,1,20,1.33,11.82,1.33,New York,Female,1,0
A0003,23,5.0,6,32.73,61,5.267688538100692,0,2,0.48,31.07,6.6,Austin,Female,0,1
A0004,25,5.0,6,9.25,4,5.548029856408025,0,34,2.04,77.84,5.75,Chicago,Male,1,1
A0005,16,18.0,24,29.08,99,-0.0171533747233359,0,4,1.92,54.32,0.31,Austin,Female,0,1
A0006,15,9.0,12,30.16,41,1.1728630430508191,0,6,0.86,83.23,2.01,New York,Male,1,0
A0007,19,18.0,24,37.95,63,3.4552128155073913,1,44,1.53,11.16,2.68,New York,Male,1,1
A0008,23,9.0,12,39.74,65,1.2784347291529088,0,12,0.94,92.06,0.73,New York,Male,1,1
A0009,17,5.0,6,24.96,98,2.015525614065048,1,6,1.2,93.49,3.55,Chicago,Male,0,0
A0010,17,9.0,12,28.49,20,0.7315600435859646,1,44,1.74,15.53,0.27,Austin,Male,0,0
A0011,17,5.0,6,22.34,19,3.4075823071875377,0,5,1.91,3.39,5.53,Austin,Male,0,0
A0012,23,9.0,12,18.72,41,1.018270246429743,0,1,1.89,98.98,2.12,Chicago,Male,0,1
A0013,23,5.0,6,33.1,73,2.250962271566034,1,86,1.62,48.23,2.87,New York,Female,0,1
A0014,15,18.0,24,17.26,56,4.456719755342201,0,4,2.14,57.21,9.1,San Francisco,Female,0,1
A0015,22,4.0,6,25.85,96,1.7960821674869671,0,28,1.19,61.59,5.03,New York,Female,1,1
A0016,15,5.0,6,20.05,78,1.3207124707590272,0,2,1.31,78.97,2.69,San Francisco,Male,0,0
A0017,19,18.0,24,35.5,37,3.1731688796655764,0,19,0.2,81.2,5.98,New York,Male,1,0
A0018,15,2.0,3,48.01,13,1.728247332595274,0,11,1.45,19.39,2.02,Chicago,Female,0,0
A0019,19,9.0,12,16.98,63,-0.3900240755212111,0,59,1.79,23.66,0.74,San Francisco,Male,1,0
A0020,20,9.0,12,11.47,46,-1.2653037013352917,0,12,1.64,87.68,0.21,Chicago,Male,1,0
