user_id,temperature_out,humidity_out,avg_daily_usage,has_solar,home_size,day_of_week,month,work_from_home_days,region,energy_contract,num_children,device_count,energy_consumption,high_usage_flag
user_444,30.8,84.3,3.7,0,151.5,Sun,Oct,3,north,fixed,1,7,26.52,1
user_384,29.0,41.6,3.4,1,133.5,Sun,Mar,2,west,fixed,0,3,11.02,0
user_97,28.6,70.0,4.4,0,95.8,Wed,Aug,2,east,green,0,6,15.1,0
user_79,23.4,43.0,1.4,0,63.2,Sun,Jul,6,west,green,1,4,15.19,0
user_326,20.2,52.6,7.2,0,87.4,Thu,Oct,3,east,variable,2,3,20.89,0
user_208,16.5,71.3,5.8,1,173.9,Fri,Oct,6,south,variable,1,12,35.56,1
user_149,27.6,70.7,4.5,1,128.3,Wed,Jul,4,east,fixed,0,6,10.85,0
user_287,8.8,27.9,5.2,0,79.1,Thu,Feb,2,north,fixed,2,6,35.12,1
user_260,32.8,59.7,4.5,1,143.0,Sun,Sep,0,north,fixed,0,6,15.61,0
user_401,22.5,78.9,1.6,1,120.1,Wed,Dec,5,east,variable,1,8,17.18,0
user_112,26.9,23.4,1.8,0,120.5,Tue,Oct,7,north,fixed,1,7,24.22,0
user_311,24.7,77.6,1.9,0,117.3,Fri,Jun,1,north,variable,1,5,13.47,0
user_269,23.2,74.0,1.8,1,87.8,Mon,Aug,2,east,fixed,0,3,11.63,0
user_68,23.8,74.1,2.3,0,104.3,Wed,Jun,0,east,green,4,7,5.0,0
user_282,28.6,31.5,1.7,1,143.4,Sat,Jun,5,south,green,1,8,19.78,0
user_35,18.0,83.6,7.0,0,180.4,Sat,Dec,7,west,green,0,11,30.62,1
user_316,15.2,67.1,5.3,0,134.2,Sun,May,6,south,variable,0,8,31.5,1
user_195,24.7,42.2,4.1,0,148.3,Wed,Sep,4,north,variable,1,8,25.36,0
user_340,16.3,58.7,3.2,0,78.4,Fri,Oct,0,east,green,0,3,6.5,0
user_7,22.6,46.8,6.1,1,150.0,Sat,Jan,6,west,green,2,10,30.24,1
user_247,12.8,40.2,7.2,0,79.2,Wed,Aug,3,east,green,1,7,27.92,1
user_494,16.9,40.7,3.7,0,114.5,Tue,May,4,south,fixed,1,3,24.21,0
user_421,26.7,56.9,6.1,0,161.2,Tue,Feb,2,west,variable,2,7,32.26,1
user_256,22.5,70.3,6.5,0,119.1,Sat,Jan,5,west,green,0,8,26.25,0
user_160,19.1,40.0,3.5,1,118.8,Sun,Aug,1,west,green,2,5,13.21,0
user_476,17.7,47.4,6.9,0,107.6,Sat,Aug,2,west,variable,4,9,34.6,1
user_257,25.5,88.6,3.0,1,88.9,Thu,Dec,1,north,fixed,0,1,5.0,0
user_313,23.9,83.7,3.6,0,109.8,Tue,Dec,0,west,fixed,0,3,9.82,0
user_318,23.8,31.6,3.5,0,142.3,Sat,Feb,2,west,fixed,0,8,15.19,0
user_407,15.9,26.2,6.3,1,91.2,Thu,Jul,5,north,variable,0,7,22.57,0
user_154,24.0,32.7,7.1,0,157.2,Fri,Jun,6,west,variable,1,9,30.07,1
user_359,27.3,31.8,6.3,1,124.4,Tue,Apr,7,south,fixed,1,12,30.32,1
user_293,23.4,81.4,1.4,0,122.3,Wed,Dec,6,east,variable,2,7,18.98,0
user_263,23.7,50.2,3.8,0,137.9,Sat,Apr,4,north,green,2,9,22.63,0
user_257,25.0,41.7,2.9,0,106.8,Tue,May,0,north,fixed,1,4,16.89,0
user_464,25.2,57.3,6.7,0,110.4,Mon,Jan,5,west,variable,3,6,17.96,0
user_417,26.1,37.6,4.5,1,176.2,Mon,May,3,south,fixed,0,6,15.84,0
user_366,17.3,67.1,2.0,1,120.5,Fri,Dec,3,south,variable,1,7,13.98,0
user_325,26.7,83.4,6.2,0,115.3,Thu,Jan,4,east,fixed,1,4,17.82,0
user_184,22.3,29.1,6.5,0,96.9,Sun,Jul,0,west,green,1,6,21.37,0
