report_id,timestamp,neighborhood,issue_type,time_to_resolution,required_escalation,num_previous_reports,severity_score,is_weekend,weather_rain,response_team_rating,reporter_experience,issue_complexity,hour_of_day
RPT-1000,2024-01-28 04:28:01.041,DOWNTOWN,noise,9.0,1,2,5.8,1,1,3.7,5.02,634.0,
RPT-1001,2024-04-13 13:08:06.108,Riverside,,3.4,0,9,1.0,1,0,5.0,4.63,,13.0
RPT-1002,2024-01-24 08:15:28.744,Downtown,pothole,46.7,0,2,4.9,0,0,4.3,0.15,364.0,
RPT-1003,2024-02-27 10:31:59.638,Downtown,pothole,72.3,1,1,7.1,0,0,,1.8,860.0,10.0
RPT-1004,2024-07-29 07:36:45.533,old town,noise,5.0,0,0,2.4,0,0,4.0,3.78,,7.0
RPT-1005,2024-01-23 22:11:05.582,Downtown,,51.3,0,11,7.1,0,0,4.3,2.77,552.0,22.0
RPT-1006,2023-04-12 23:28:06.395,Riverside,vandalism,31.6,1,2,8.9,0,1,2.6,3.27,941.0,23.0
RPT-1007,2023-11-20 15:42:42.961,Uptown,pothole,50.7,0,2,4.7,0,0,4.0,3.66,424.0,15.0
RPT-1008,2023-04-15 12:58:05.355,Old Town,noise,3.6,0,1,3.7,1,0,4.9,5.71,292.0,12.0
RPT-1009,2023-07-14 19:09:19.158,DOWNTOWN,,51.0,0,0,8.5,0,1,,5.99,696.0,
RPT-1010,2024-05-18 10:20:04.132,Riverside,noise,15.1,0,1,2.6,1,1,3.1,5.08,253.0,10.0
RPT-1011,2023-01-22 15:43:16.742,Old Town,lighting,18.1,1,1,5.8,1,0,4.1,2.58,642.0,15.0
RPT-1012,2024-01-21 09:07:47.281,Tech District,lighting,13.5,0,2,6.7,1,1,4.3,4.94,500.0,9.0
RPT-1013,2023-05-04 10:30:23.602,DOWNTOWN,,11.0,0,1,5.4,0,0,4.4,3.01,420.0,10.0
RPT-1014,2023-08-11 23:17:57.639,Uptown,vandalism,31.8,1,5,9.4,0,0,3.9,2.67,962.0,23.0
RPT-1015,2024-07-26 10:29:44.944,Uptown,pothole,41.9,0,4,3.1,0,0,4.2,3.12,371.0,
RPT-1016,2023-04-29 07:22:33.016,Tech District,lighting,11.4,0,1,5.5,1,1,5.0,4.5,479.0,7.0
RPT-1017,2024-06-08 01:31:03.389,Riverside,pothole,45.3,0,3,4.5,1,0,3.7,3.2,334.0,1.0
