company_name,channel,submission_time,attachments,previous_interactions,day_of_week,subscription_tier,contract_value,account_age_months,open_tickets,account_manager,subscribed_modules,avg_resolution_customer,avg_resolution_tier,issue_type,product_area,linked_ticket_count,is_vip,self_declared_p1,is_urgent,resolution_time
InsightlySoft,web_form,2025-06-18 20:01:37,2,3,4,Enterprise,211.17,21,2,AM_11,"Billing,Analytics",60.01541411,25.46861064,Performance,Security,0,0,0,1,73.8
GlobalFinance Corp,web_form,2025-06-20 13:01:37,0,3,6,Basic,2827.28,20,1,AM_5,"Security,Integration",40.01453224,42.33015367,Feature Request,Collaboration,0,0,0,0,32.6
InsightlySoft,web_form,2025-07-12 8:01:37,1,0,7,Basic,5845.15,38,0,AM_16,"Collaboration,Analytics",55.61783127,29.89277461,Bug,Collaboration,0,0,0,0,52.6
InsightlySoft,web_form,2025-07-10 8:01:37,0,1,5,Enterprise,4975.12,13,1,AM_13,Analytics,38.94546944,45.31805976,How-To,Analytics,0,1,0,1,49.9
InsightlySoft,web_form,2025-07-01 0:01:37,1,5,3,Pro,5815.52,29,2,AM_9,"Analytics,Collaboration,Billing",54.51216059,47.79402986,Bug,Integration,1,0,0,0,48
GlobalFinance Corp,email,2025-06-16 7:01:37,1,4,2,Basic,575.66,21,2,AM_18,Collaboration,35.33699106,32.89232739,Performance,Integration,0,0,0,0,32.2
InsightlySoft,web_form,2025-06-28 19:01:37,0,2,7,Basic,3150.19,42,0,AM_2,Security,61.8157208,29.80364583,Other,Analytics,0,0,1,1,78.6
InsightlySoft,web_form,2025-07-08 0:01:37,0,1,3,Basic,9421.72,33,0,AM_9,"Integration,Billing",45.26491059,24.16203793,Performance,Analytics,0,0,0,1,58.7
InsightlySoft,email,2025-07-02 20:01:37,1,1,4,Enterprise,4587.05,32,0,AM_13,"Collaboration,Security,Analytics",50.15624257,20.7524417,Feature Request,Analytics,0,0,0,1,71.8
GlobalFinance Corp,email,2025-07-11 19:01:37,3,3,6,Enterprise,10.19,48,1,AM_14,Security,49.14015686,23.99709448,Other,Integration,0,1,0,1,69.8
InsightlySoft,email,2025-06-25 20:01:37,1,3,4,Basic,6419.02,46,0,AM_15,"Collaboration,Billing,Analytics",61.58901356,31.67193762,Bug,Collaboration,0,0,1,1,78.3
InsightlySoft,email,2025-06-21 3:01:37,2,3,7,Basic,3670.28,28,3,AM_5,Collaboration,41.4079844,16.7819729,Other,Collaboration,1,0,0,0,47.5
InsightlySoft,email,2025-06-28 5:01:37,1,5,7,Basic,390.54,50,0,AM_13,Integration,47.45523301,41.90118507,How-To,Security,0,0,0,0,64.1
InsightlySoft,email,2025-06-23 7:01:37,0,4,2,Pro,1129.86,14,1,AM_3,"Billing,Analytics",49.5603211,39.80611845,Bug,Collaboration,0,0,0,0,50.3
GlobalFinance Corp,web_form,2025-07-13 16:01:37,0,3,1,Basic,375.04,57,2,AM_12,"Collaboration,Billing",57.7424584,39.82616253,Other,Analytics,0,0,0,0,66.6
InsightlySoft,web_form,2025-07-01 17:01:37,1,0,3,Basic,3925.9,42,1,AM_7,"Billing,Collaboration",40.39595266,45.37282572,Performance,Security,0,0,1,1,57.6
GlobalFinance Corp,chat,2025-07-09 12:01:37,0,7,4,Pro,10.59,52,2,AM_8,"Billing,Integration,Collaboration",26.64779121,26.67482551,Other,Billing,0,0,0,0,17.1
GlobalFinance Corp,web_form,2025-06-27 18:01:37,1,3,6,Enterprise,1873.79,22,3,AM_10,Billing,36.52236167,27.14240983,Feature Request,Integration,0,0,0,1,48.1
GlobalFinance Corp,web_form,2025-06-21 5:01:37,1,4,7,Pro,25689.29,37,2,AM_4,"Integration,Collaboration",55.2429297,45.03388649,Bug,Security,0,0,0,1,63.1
InsightlySoft,email,2025-07-06 12:01:37,0,4,1,Enterprise,5714.06,34,2,AM_4,"Security,Integration,Analytics",48.75854171,31.47305136,Other,Billing,0,0,0,1,57.6
GlobalFinance Corp,email,2025-07-06 22:01:37,1,4,1,Enterprise,2654.53,17,0,AM_17,"Integration,Billing,Security",47.30236393,39.14157682,Bug,Analytics,0,0,0,1,54.1
InsightlySoft,web_form,2025-06-15 16:01:37,1,1,1,Pro,3551.86,33,2,AM_15,Analytics,39.53931414,18.77425359,Performance,Collaboration,0,0,1,1,52.4
GlobalFinance Corp,chat,2025-06-14 22:01:37,1,4,7,Basic,2776.29,33,0,AM_18,"Security,Billing",48.69539838,44.57247664,Feature Request,Collaboration,0,0,0,0,41.9
GlobalFinance Corp,email,2025-06-24 14:01:37,2,3,3,Pro,4995.58,38,0,AM_8,"Security,Collaboration",53.09124704,38.82800847,Bug,Security,0,0,0,0,58.1
GlobalFinance Corp,web_form,2025-06-26 0:01:37,1,4,5,Basic,6514.27,26,0,AM_10,"Security,Analytics",46.81649757,23.97304904,Feature Request,Billing,0,1,0,1,54.2
GlobalFinance Corp,web_form,2025-06-22 23:01:37,1,2,1,Basic,4364.91,39,2,AM_10,"Billing,Analytics",60.96749692,47.73999776,Performance,Collaboration,0,1,0,1,75.2
GlobalFinance Corp,chat,2025-06-30 0:01:37,1,5,2,Pro,602.54,7,1,AM_13,"Analytics,Integration,Billing",56.44041413,37.23344078,Bug,Analytics,0,0,0,0,64.6
GlobalFinance Corp,chat,2025-06-17 8:01:37,2,3,3,Enterprise,1398.14,25,3,AM_9,"Security,Collaboration",46.68028048,51.46147205,Performance,Billing,0,1,0,1,45
GlobalFinance Corp,email,2025-06-19 21:01:37,2,1,5,Basic,4603.11,48,1,AM_8,"Billing,Security",54.90475236,19.50064171,Performance,Billing,0,0,1,1,68
GlobalFinance Corp,chat,2025-07-10 14:01:37,0,4,5,Pro,5197.83,51,0,AM_4,"Integration,Collaboration,Billing",48.68890237,38.84274098,Feature Request,Collaboration,0,0,0,0,47.7
InsightlySoft,web_form,2025-06-19 2:01:37,1,6,5,Basic,2973.06,30,0,AM_10,Security,51.07216588,31.13544982,Performance,Security,0,0,0,0,43.3
InsightlySoft,web_form,2025-06-21 12:01:37,2,1,7,Basic,3756.81,41,0,AM_8,Analytics,45.68541773,33.5987434,Performance,Security,1,0,0,0,43
GlobalFinance Corp,chat,2025-06-21 14:01:37,1,3,7,Pro,575.29,33,0,AM_12,"Integration,Collaboration,Security",49.7902671,37.18844842,Other,Security,1,0,1,1,79.7
GlobalFinance Corp,chat,2025-07-03 4:01:37,0,2,5,Pro,1398.83,50,2,AM_18,"Integration,Collaboration,Billing",33.12465138,21.58895824,Bug,Collaboration,0,0,0,0,30.2
GlobalFinance Corp,chat,2025-06-15 21:01:37,0,6,1,Pro,2294.81,39,0,AM_7,"Collaboration,Security",40.02324162,52.86660215,Performance,Integration,0,0,0,0,38.8
InsightlySoft,chat,2025-06-15 15:01:37,1,1,1,Enterprise,12351.32,28,0,AM_3,Security,59.81268994,49.86095002,How-To,Analytics,0,0,0,1,58.7
GlobalFinance Corp,email,2025-06-18 16:01:37,0,4,4,Basic,4816.57,18,2,AM_11,Analytics,44.78451178,37.79837409,How-To,Analytics,0,0,0,0,49.2
InsightlySoft,chat,2025-06-24 7:01:37,1,2,3,Basic,641.88,10,1,AM_6,"Analytics,Integration",37.4636775,25.45846242,Other,Security,1,0,0,0,33.1
InsightlySoft,email,2025-07-04 3:01:37,0,5,6,Pro,1303.48,59,0,AM_7,"Integration,Security",64.57535158,33.69629034,Performance,Security,0,0,0,1,81.7
InsightlySoft,web_form,2025-06-28 21:01:37,0,2,7,Basic,733.48,52,0,AM_18,"Security,Collaboration",45.02805866,37.86324827,Other,Analytics,1,0,0,0,48.9
InsightlySoft,chat,2025-06-22 4:01:37,1,1,1,Enterprise,495.54,2,0,AM_7,"Security,Analytics",53.35010247,30.5344861,How-To,Collaboration,0,0,1,1,69.3
InsightlySoft,email,2025-07-03 18:01:37,0,2,5,Basic,383.43,43,0,AM_18,"Security,Billing,Integration",42.88413257,42.88000196,Bug,Billing,0,0,0,0,36.1
GlobalFinance Corp,chat,2025-06-19 8:01:37,2,5,5,Pro,10118.1,50,1,AM_3,"Security,Integration,Analytics",57.23998894,37.1908435,Performance,Analytics,1,0,0,1,77.1
GlobalFinance Corp,web_form,2025-07-01 1:01:37,0,2,3,Basic,7113.67,43,0,AM_9,"Collaboration,Integration",48.04985249,35.41431636,Other,Analytics,0,0,0,1,57.6
GlobalFinance Corp,web_form,2025-07-09 23:01:37,1,2,4,Basic,1980.55,14,0,AM_14,Integration,31.24589371,42.24118654,Bug,Billing,1,0,0,0,39.2
GlobalFinance Corp,web_form,2025-07-03 6:01:37,0,3,5,Pro,2385.84,13,0,AM_7,Analytics,68.73903142,22.20977621,Other,Billing,0,0,1,1,80.5
GlobalFinance Corp,chat,2025-06-24 10:01:37,0,4,3,Pro,5472.03,1,1,AM_14,Analytics,42.15851191,29.66363958,Bug,Integration,0,0,0,0,35.9
InsightlySoft,chat,2025-07-03 1:01:37,1,2,5,Enterprise,3139.53,32,0,AM_15,Billing,44.83703277,35.10015164,Bug,Analytics,0,0,0,1,55.9
GlobalFinance Corp,email,2025-07-03 7:01:37,1,4,5,Basic,3957.68,25,0,AM_6,Analytics,35.90094225,30.00386011,Other,Billing,0,0,0,0,41.6
GlobalFinance Corp,web_form,2025-06-14 19:01:37,1,4,7,Basic,4698.3,10,0,AM_7,"Billing,Security",30.02908539,24.65257,How-To,Analytics,0,0,0,0,21
InsightlySoft,chat,2025-07-01 2:01:37,1,3,3,Pro,1979.3,15,1,AM_12,Security,58.96195206,26.66408533,Other,Billing,0,0,0,0,63.9
GlobalFinance Corp,web_form,2025-07-05 23:01:37,1,7,7,Basic,11041.89,51,0,AM_12,"Billing,Integration,Analytics",50.0801882,35.96157637,Feature Request,Security,1,0,0,1,63.2
InsightlySoft,web_form,2025-06-21 18:01:37,4,0,7,Pro,2969.53,29,6,AM_1,"Security,Collaboration,Billing",28.64830317,38.08335771,Performance,Security,0,0,0,0,29
GlobalFinance Corp,email,2025-07-13 16:01:37,0,4,1,Basic,3011.15,17,4,AM_19,Integration,44.22949443,54.41214182,How-To,Security,0,0,1,1,51.8
InsightlySoft,email,2025-07-13 15:01:37,1,5,1,Basic,456.12,42,0,AM_14,"Collaboration,Analytics,Integration",51.78038,44.63574876,How-To,Analytics,0,0,0,0,61.8
GlobalFinance Corp,email,2025-06-15 12:01:37,1,3,1,Basic,13203.56,54,1,AM_5,"Analytics,Security",54.03228124,27.16980326,Other,Analytics,0,0,0,1,60.2
GlobalFinance Corp,email,2025-07-11 7:01:37,4,0,6,Enterprise,220.21,40,3,AM_17,Billing,39.14938188,45.89082032,Performance,Analytics,0,0,0,1,50.1
InsightlySoft,web_form,2025-06-16 8:01:37,0,5,2,Enterprise,12729.16,23,0,AM_6,"Security,Collaboration",42.87198701,36.40877613,Feature Request,Collaboration,1,0,0,1,57.2
InsightlySoft,email,2025-06-27 13:01:37,0,4,6,Enterprise,7242.75,7,1,AM_1,"Collaboration,Billing,Security",41.23483515,34.80760009,Other,Security,0,0,0,1,36.5
InsightlySoft,email,2025-07-07 19:01:37,0,1,2,Pro,5822.59,50,0,AM_1,Analytics,44.24368929,30.55914992,Performance,Billing,0,0,0,0,52.3
InsightlySoft,email,2025-06-15 14:01:37,3,0,1,Basic,3358.88,59,0,AM_0,"Integration,Security",50.25016716,23.29676125,Other,Integration,0,0,0,0,45.2
InsightlySoft,email,2025-07-07 17:01:37,0,3,2,Basic,2816.05,36,2,AM_13,"Collaboration,Analytics",56.12476161,36.07248913,Performance,Collaboration,0,0,0,0,64.3
InsightlySoft,web_form,2025-07-05 5:01:37,0,4,7,Basic,17069.65,6,1,AM_1,"Analytics,Security",50.34403047,25.67982661,How-To,Analytics,0,0,0,1,66
InsightlySoft,email,2025-06-19 9:01:37,0,4,5,Enterprise,10948.69,2,2,AM_9,"Collaboration,Integration",50.65976453,33.65626508,Other,Security,1,0,1,1,66.8
InsightlySoft,web_form,2025-06-29 11:01:37,0,1,1,Pro,5011.28,45,1,AM_3,"Analytics,Security",46.07366106,45.27001006,Feature Request,Collaboration,0,0,0,0,53.2
GlobalFinance Corp,chat,2025-06-22 18:01:37,1,2,1,Enterprise,272.6,32,1,AM_3,"Billing,Analytics,Collaboration",36.28069069,44.23654524,Performance,Security,0,0,0,1,44.4
GlobalFinance Corp,web_form,2025-06-17 19:01:37,0,1,3,Pro,1396.44,53,1,AM_6,Analytics,46.54462129,34.04358464,Feature Request,Billing,2,0,0,0,47.7
InsightlySoft,web_form,2025-06-22 8:01:37,0,1,1,Basic,6028.13,44,2,AM_19,"Integration,Billing",43.74924764,44.00611521,Feature Request,Integration,0,0,0,0,37.3
GlobalFinance Corp,email,2025-06-22 22:01:37,1,0,1,Basic,3637.23,5,2,AM_4,"Billing,Security",41.12592755,38.16392158,Other,Collaboration,0,0,0,0,30.7
GlobalFinance Corp,chat,2025-07-11 18:01:37,1,4,6,Enterprise,390.34,19,1,AM_11,"Billing,Security,Integration",48.16941781,48.00706869,Performance,Integration,0,0,0,1,62
GlobalFinance Corp,chat,2025-06-17 21:01:37,1,3,3,Basic,1284.28,2,1,AM_11,Security,32.37260495,26.54756219,Bug,Collaboration,0,0,0,0,35.4
GlobalFinance Corp,chat,2025-07-10 8:01:37,2,1,5,Basic,58.85,43,1,AM_5,Collaboration,43.35297339,35.01124837,Feature Request,Security,1,0,0,0,36.4
InsightlySoft,chat,2025-06-16 1:01:37,1,5,2,Basic,6699.27,23,1,AM_17,Security,41.11305245,32.13048417,Performance,Analytics,0,0,1,1,51.6
GlobalFinance Corp,web_form,2025-07-03 0:01:37,1,5,5,Pro,4123.16,40,0,AM_1,Collaboration,39.60233614,39.23479004,How-To,Security,0,0,1,1,62.1
