company_name,model_name,month,accuracy,precision,recall,f1_score,rmse,mae,r2_score,number_of_tickets
GlobalFinance Corp,Classification,2023-01,0.887,0.943,0.882,0.876,,,,107
GlobalFinance Corp,Regression,2023-01,,,,,1.325,0.994,0.662,62
GlobalFinance Corp,Classification,2023-02,0.937,0.89,0.877,0.783,,,,190
GlobalFinance Corp,Regression,2023-02,,,,,1.976,1.399,0.692,175
GlobalFinance Corp,Classification,2023-03,0.868,0.828,0.805,0.864,,,,164
GlobalFinance Corp,Regression,2023-03,,,,,1.546,1.075,0.772,121
GlobalFinance Corp,Classification,2023-04,0.864,0.844,0.816,0.853,,,,102
GlobalFinance Corp,Regression,2023-04,,,,,1.828,1.02,0.753,329
GlobalFinance Corp,Classification,2023-05,0.909,0.807,0.859,0.807,,,,94
GlobalFinance Corp,Regression,2023-05,,,,,1.252,1.469,0.843,266
GlobalFinance Corp,Classification,2023-06,0.931,0.846,0.768,0.889,,,,66
GlobalFinance Corp,Regression,2023-06,,,,,1.552,0.973,0.749,65
GlobalFinance Corp,Classification,2023-07,0.853,0.936,0.797,0.886,,,,97
GlobalFinance Corp,Regression,2023-07,,,,,1.449,1.212,0.759,161
GlobalFinance Corp,Classification,2023-08,0.868,0.945,0.89,0.93,,,,169
GlobalFinance Corp,Regression,2023-08,,,,,1.916,1.259,0.834,308
GlobalFinance Corp,Classification,2023-09,0.859,0.829,0.758,0.832,,,,63
GlobalFinance Corp,Regression,2023-09,,,,,1.511,1.063,0.816,337
GlobalFinance Corp,Classification,2023-10,0.886,0.842,0.848,0.803,,,,151
GlobalFinance Corp,Regression,2023-10,,,,,1.842,0.945,0.847,329
GlobalFinance Corp,Classification,2023-11,0.927,0.83,0.751,0.91,,,,264
GlobalFinance Corp,Regression,2023-11,,,,,1.765,1.337,0.804,162
GlobalFinance Corp,Classification,2023-12,0.857,0.854,0.771,0.918,,,,279
GlobalFinance Corp,Regression,2023-12,,,,,1.699,1.099,0.663,192
GlobalFinance Corp,Classification,2024-01,0.881,0.849,0.881,0.882,,,,53
GlobalFinance Corp,Regression,2024-01,,,,,1.91,1.183,0.674,131
GlobalFinance Corp,Classification,2024-02,0.921,0.914,0.851,0.903,,,,266
GlobalFinance Corp,Regression,2024-02,,,,,1.595,1.214,0.736,224
GlobalFinance Corp,Classification,2024-03,0.853,0.816,0.756,0.882,,,,192
GlobalFinance Corp,Regression,2024-03,,,,,1.451,1.205,0.832,129
GlobalFinance Corp,Classification,2024-04,0.875,0.862,0.886,0.817,,,,160
GlobalFinance Corp,Regression,2024-04,,,,,1.262,1.074,0.682,222
GlobalFinance Corp,Classification,2024-05,0.943,0.921,0.864,0.919,,,,102
GlobalFinance Corp,Regression,2024-05,,,,,1.843,1.012,0.829,97
GlobalFinance Corp,Classification,2024-06,0.904,0.921,0.911,0.831,,,,244
GlobalFinance Corp,Regression,2024-06,,,,,1.288,1.037,0.735,99
GlobalFinance Corp,Classification,2024-07,0.932,0.929,0.751,0.862,,,,233
GlobalFinance Corp,Regression,2024-07,,,,,1.534,1.033,0.674,226
GlobalFinance Corp,Classification,2024-08,0.884,0.941,0.808,0.863,,,,185
GlobalFinance Corp,Regression,2024-08,,,,,1.762,1.118,0.844,72
GlobalFinance Corp,Classification,2024-09,0.946,0.838,0.84,0.828,,,,285
GlobalFinance Corp,Regression,2024-09,,,,,1.428,0.922,0.772,324
GlobalFinance Corp,Classification,2024-10,0.9,0.808,0.8,0.925,,,,113
GlobalFinance Corp,Regression,2024-10,,,,,1.392,0.987,0.748,243
GlobalFinance Corp,Classification,2024-11,0.949,0.836,0.871,0.902,,,,90
GlobalFinance Corp,Regression,2024-11,,,,,1.39,1.337,0.724,332
GlobalFinance Corp,Classification,2024-12,0.913,0.895,0.846,0.794,,,,200
GlobalFinance Corp,Regression,2024-12,,,,,1.868,1.092,0.687,235
InsightlySoft,Classification,2023-01,0.854,0.889,0.872,0.783,,,,345
InsightlySoft,Regression,2023-01,,,,,1.61,1.036,0.779,148
InsightlySoft,Classification,2023-02,0.867,0.904,0.82,0.93,,,,85
InsightlySoft,Regression,2023-02,,,,,1.31,1.105,0.673,73
InsightlySoft,Classification,2023-03,0.942,0.932,0.796,0.886,,,,166
InsightlySoft,Regression,2023-03,,,,,1.854,1.233,0.756,198
InsightlySoft,Classification,2023-04,0.874,0.814,0.911,0.924,,,,90
InsightlySoft,Regression,2023-04,,,,,1.706,1.103,0.72,169
InsightlySoft,Classification,2023-05,0.923,0.935,0.91,0.905,,,,101
InsightlySoft,Regression,2023-05,,,,,1.714,0.95,0.682,244
InsightlySoft,Classification,2023-06,0.94,0.891,0.752,0.796,,,,192
InsightlySoft,Regression,2023-06,,,,,1.731,0.903,0.682,282
InsightlySoft,Classification,2023-07,0.905,0.904,0.867,0.816,,,,236
InsightlySoft,Regression,2023-07,,,,,1.77,1.042,0.715,133
InsightlySoft,Classification,2023-08,0.925,0.897,0.903,0.885,,,,239
InsightlySoft,Regression,2023-08,,,,,1.655,0.956,0.724,231
InsightlySoft,Classification,2023-09,0.877,0.837,0.925,0.843,,,,157
InsightlySoft,Regression,2023-09,,,,,1.914,1.279,0.809,186
InsightlySoft,Classification,2023-10,0.9,0.887,0.839,0.811,,,,86
InsightlySoft,Regression,2023-10,,,,,1.778,1.068,0.655,137
InsightlySoft,Classification,2023-11,0.915,0.827,0.919,0.933,,,,323
InsightlySoft,Regression,2023-11,,,,,1.932,1.122,0.653,175
InsightlySoft,Classification,2023-12,0.943,0.864,0.924,0.934,,,,133
InsightlySoft,Regression,2023-12,,,,,1.882,1.077,0.727,286
InsightlySoft,Classification,2024-01,0.935,0.848,0.781,0.869,,,,244
InsightlySoft,Regression,2024-01,,,,,1.949,1.318,0.764,188
InsightlySoft,Classification,2024-02,0.86,0.892,0.928,0.802,,,,335
InsightlySoft,Regression,2024-02,,,,,1.615,1.426,0.798,162
InsightlySoft,Classification,2024-03,0.92,0.905,0.815,0.827,,,,216
InsightlySoft,Regression,2024-03,,,,,1.847,1.386,0.823,78
InsightlySoft,Classification,2024-04,0.941,0.877,0.84,0.908,,,,167
InsightlySoft,Regression,2024-04,,,,,1.72,1.321,0.809,66
InsightlySoft,Classification,2024-05,0.939,0.851,0.818,0.795,,,,211
InsightlySoft,Regression,2024-05,,,,,1.663,0.922,0.743,255
InsightlySoft,Classification,2024-06,0.904,0.843,0.856,0.785,,,,187
InsightlySoft,Regression,2024-06,,,,,1.23,1.394,0.722,83
InsightlySoft,Classification,2024-07,0.863,0.878,0.889,0.815,,,,158
InsightlySoft,Regression,2024-07,,,,,1.698,0.951,0.66,340
InsightlySoft,Classification,2024-08,0.903,0.881,0.865,0.896,,,,211
InsightlySoft,Regression,2024-08,,,,,1.981,1.21,0.715,158
InsightlySoft,Classification,2024-09,0.93,0.841,0.829,0.793,,,,305
InsightlySoft,Regression,2024-09,,,,,1.22,1.478,0.817,252
InsightlySoft,Classification,2024-10,0.92,0.861,0.781,0.805,,,,284
InsightlySoft,Regression,2024-10,,,,,1.4,1.23,0.793,123
InsightlySoft,Classification,2024-11,0.916,0.842,0.922,0.898,,,,185
InsightlySoft,Regression,2024-11,,,,,1.643,1.267,0.734,121
InsightlySoft,Classification,2024-12,0.875,0.853,0.886,0.782,,,,176
InsightlySoft,Regression,2024-12,,,,,1.293,0.928,0.658,337
