record_id,market_date,product_type,return_percentage,volatility_index,market_region
R1000,2023-01-01,Bonds,0.4,,Africa
R1001,2023-01-02,Stocks,0.05,1.65,North America
R1002,2023-01-03,Mutual Fund,,0.72,South America
R1003,2023-01-04,Bonds,-1.97,1.54,Africa
R1004,2023-01-05,Mutual Fund,-0.02,1.92,Asia-Pacific
R1005,2023-01-06,Stocks,-0.86,1.52,Europe
R1006,2023-01-07,Bonds,0.94,1.0,Europe
R1007,2023-01-08,Mutual Fund,-1.9,1.25,Asia-Pacific
R1008,2023-01-09,Bonds,0.34,1.47,North America
R1009,2023-01-10,Stocks,1.77,1.27,South America
R1010,2023-01-11,Mutual Fund,-1.3,0.68,Africa
R1011,2023-01-12,Mutual Fund,-0.11,0.97,Africa
R1012,2023-01-13,Bonds,-1.63,1.7,North America
R1013,2023-01-14,Bonds,0.5,1.79,Asia-Pacific
R1014,2023-01-15,Bonds,0.2,0.71,Europe
R1015,2023-01-16,Stocks,-0.37,1.93,Africa
R1016,2023-01-17,Mutual Fund,0.09,0.99,North America
R1017,2023-01-18,Stocks,1.59,1.49,North America
R1018,2023-01-19,Bonds,-1.21,1.63,North America
R1019,2023-01-20,Bonds,-1.91,1.72,Asia-Pacific
R1020,2023-01-21,Bonds,1.45,1.92,North America
R1021,2023-01-22,Stocks,0.31,0.97,Asia-Pacific
R1022,2023-01-23,Bonds,1.56,1.79,Asia-Pacific
R1023,2023-01-24,Bonds,0.39,0.7,Asia-Pacific
R1024,2023-01-25,Mutual Fund,1.24,1.56,Africa
R1025,2023-01-26,Stocks,-0.28,1.61,Asia-Pacific
R1026,2023-01-27,Mutual Fund,1.0,1.52,Asia-Pacific
R1027,2023-01-28,Mutual Fund,1.65,0.88,Africa
R1028,2023-01-29,Mutual Fund,0.29,1.81,Asia-Pacific
R1029,2023-01-30,Bonds,-1.28,0.75,South America
R1030,2023-01-31,Stocks,-0.92,0.58,Europe
R1031,2023-02-01,Stocks,-1.21,1.58,Europe
R1032,2023-02-02,Mutual Fund,-1.01,1.21,South America
R1033,2023-02-03,Mutual Fund,-0.77,1.77,South America
R1034,2023-02-04,Stocks,0.22,1.08,Europe
R1035,2023-02-05,Stocks,0.35,0.75,Asia-Pacific
R1036,2023-02-06,Stocks,-0.29,1.75,Asia-Pacific
R1037,2023-02-07,Mutual Fund,0.46,1.32,Europe
R1038,2023-02-08,Bonds,-1.67,0.78,Asia-Pacific
R1039,2023-02-09,Stocks,-1.65,1.58,South America
R1040,2023-02-10,Stocks,-1.31,1.27,Africa
R1041,2023-02-11,Stocks,0.07,1.41,Africa
R1042,2023-02-12,Bonds,-1.14,1.19,South America
R1043,2023-02-13,Stocks,-0.87,1.74,North America
R1044,2023-02-14,Bonds,-0.4,1.74,Asia-Pacific
R1045,2023-02-15,Mutual Fund,1.25,1.56,Asia-Pacific
R1046,2023-02-16,Bonds,-1.94,0.66,North America
R1047,2023-02-17,Mutual Fund,0.6,1.76,Africa
R1048,2023-02-18,Bonds,0.68,1.51,South America
R1049,2023-02-19,Mutual Fund,1.19,1.55,Africa
R1050,2023-02-20,Mutual Fund,1.73,1.04,South America
R1051,2023-02-21,Bonds,-1.92,1.82,Asia-Pacific
R1052,2023-02-22,Stocks,-1.38,1.59,Europe
R1053,2023-02-23,Stocks,1.54,0.67,Europe
R1054,2023-02-24,Stocks,-0.17,1.11,Asia-Pacific
R1055,2023-02-25,Stocks,0.26,1.83,North America
R1056,2023-02-26,Stocks,0.65,0.57,Europe
R1057,2023-02-27,Mutual Fund,0.72,1.94,North America
R1058,2023-02-28,Stocks,1.73,1.52,Europe
R1059,2023-03-01,Bonds,1.99,1.45,Africa
R1060,2023-03-02,Stocks,0.88,0.91,Europe
R1061,2023-03-03,Bonds,-0.85,0.87,Asia-Pacific
R1062,2023-03-04,Mutual Fund,1.52,1.91,Asia-Pacific
R1063,2023-03-05,Bonds,-1.8,0.95,North America
R1064,2023-03-06,Bonds,-1.08,1.66,Africa
R1065,2023-03-07,Bonds,1.59,1.09,Europe
R1066,2023-03-08,Bonds,-0.98,0.71,South America
R1067,2023-03-09,Stocks,-1.12,0.52,Asia-Pacific
R1068,2023-03-10,Bonds,-1.45,1.32,Africa
R1069,2023-03-11,Stocks,1.44,1.96,Africa
R1070,2023-03-12,Stocks,0.0,1.05,Europe
R1071,2023-03-13,Mutual Fund,0.7,1.04,Asia-Pacific
R1072,2023-03-14,Mutual Fund,-1.04,1.02,North America
R1073,2023-03-15,Stocks,1.03,1.28,South America
R1074,2023-03-16,Stocks,1.04,1.16,Europe
R1075,2023-03-17,Bonds,-0.75,1.82,South America
R1076,2023-03-18,Mutual Fund,-0.36,1.26,Africa
R1077,2023-03-19,Bonds,-1.16,1.26,Asia-Pacific
R1078,2023-03-20,Bonds,1.91,0.71,Europe
R1079,2023-03-21,Stocks,0.58,1.97,Africa
R1080,2023-03-22,Stocks,1.74,0.87,Asia-Pacific
R1081,2023-03-23,Stocks,-0.79,0.61,Europe
R1082,2023-03-24,Stocks,1.13,1.49,Africa
R1083,2023-03-25,Mutual Fund,1.06,1.39,Asia-Pacific
R1084,2023-03-26,Mutual Fund,0.77,1.12,Asia-Pacific
R1085,2023-03-27,Bonds,1.86,1.13,South America
R1086,2023-03-28,Mutual Fund,-0.43,1.68,Asia-Pacific
R1087,2023-03-29,Mutual Fund,-1.48,0.79,North America
R1088,2023-03-30,Bonds,0.69,1.73,North America
R1089,2023-03-31,Bonds,0.92,1.47,North America
R1090,2023-04-01,Bonds,0.3,1.13,South America
R1091,2023-04-02,Bonds,-1.17,1.19,Europe
R1092,2023-04-03,Bonds,0.02,0.88,North America
R1093,2023-04-04,Stocks,-0.75,1.63,Europe
R1094,2023-04-05,Stocks,-0.29,1.27,South America
R1095,2023-04-06,Mutual Fund,0.58,0.98,North America
R1096,2023-04-07,Mutual Fund,0.98,1.39,Europe
R1097,2023-04-08,Mutual Fund,-1.07,1.99,Africa
R1098,2023-04-09,Bonds,-0.38,1.15,South America
R1099,2023-04-10,Stocks,-0.92,1.88,Asia-Pacific
R1100,2023-04-11,Mutual Fund,-1.21,1.02,Asia-Pacific
R1101,2023-04-12,Mutual Fund,1.13,0.58,Europe
R1102,2023-04-13,Stocks,1.64,0.81,North America
R1103,2023-04-14,Mutual Fund,-0.52,1.13,Africa
R1104,2023-04-15,Stocks,1.01,0.83,North America
R1105,2023-04-16,Bonds,1.59,0.5,North America
R1106,2023-04-17,Mutual Fund,1.38,1.87,Asia-Pacific
R1107,2023-04-18,Stocks,-1.27,1.77,North America
R1108,2023-04-19,Stocks,1.83,1.61,South America
R1109,2023-04-20,Mutual Fund,-0.49,0.75,North America
R1110,2023-04-21,Stocks,-0.64,0.68,Asia-Pacific
R1111,2023-04-22,Stocks,-1.75,0.6,North America
R1112,2023-04-23,Stocks,-0.06,1.59,Europe
R1113,2023-04-24,Mutual Fund,-1.56,1.89,North America
R1114,2023-04-25,Stocks,-1.01,1.15,Africa
R1115,2023-04-26,Mutual Fund,-0.73,0.68,Asia-Pacific
R1116,2023-04-27,Mutual Fund,1.24,1.27,Asia-Pacific
R1117,2023-04-28,Mutual Fund,1.5,1.02,North America
R1118,2023-04-29,Bonds,-0.79,1.06,South America
R1119,2023-04-30,Stocks,1.43,1.43,South America
