Date,EnergySource,EnergyGenerated(kWh),Forecast(kWh),Location,WeatherConditions,CustomerID,CustomerType,EnergyUsed(kWh),CustomerSatisfactionRating,MaintenanceDate,AssetType,Duration(Hours),IssueType,ResolvedStatus,CO2Saved(kg),RenewableEnergyGenerated(kWh),EnergyStorage(kWh)
2023-01-01,Hydro,798.0735223012587,477.36991773096264,East,Rain,1,Residential,465.78993277541707,3,2023-01-01,Solar Panel,0.7082671139396659,Electrical,Resolved,212.43825362301206,922.8084916379485,68.61305071876927
2023-01-02,Solar,508.2831756854036,1294.9535461938135,South,Rain,2,Commercial,1821.7716737716064,3,2023-01-02,Solar Panel,10.529424952857742,Mechanical,Resolved,91.21193299698537,776.6256864148723,1307.3052092285643
2023-01-03,Hydro,1723.1921426822512,823.7180290765976,North,Rain,3,Residential,1475.5618050648188,3,2023-01-03,Solar Panel,11.219360248561543,Electrical,Pending,462.79110895800926,895.3127644894735,1460.2334537660954
2023-01-04,Hydro,1560.2860157714256,1514.5351041755923,,Windy,4,Residential,1949.803648833938,999,2023-01-04,Battery,6.999031611275903,Mechanical,Pending,111.56838391353263,803.3833077894872,1453.3167829285371
2023-01-05,Solar,1593.510752061481,737.7046078582359,West,Cloudy,5,Residential,2308.964654966814,3,2023-01-05,Battery,8.511484474584261,Software,Resolved,477.6068092193611,2404.878078630234,1124.477747614387
2023-01-06,Solar,1656.9055200289185,1590.0472678690687,South,Clear,6,Commercial,1587.3289711160382,4,2023-01-06,Wind Turbine,11.1087428835389,Software,Resolved,250.70259783108008,1245.3381997501713,195.12936019594795
2023-01-07,Hydro,611.0669776011356,1088.1133213958867,North,Rain,7,Residential,1897.4658569580658,5,2023-01-07,Wind Turbine,8.633244294604085,Other,Resolved,133.30981797737883,456.1752267211702,1137.394793893534
2023-01-08,Wind,1037.698592816409,1995.6044814156119,West,Rain,8,Residential,1965.5786444934029,2,2023-01-08,Solar Panel,2.2541989935140054,Mechanical,Resolved,293.8554263202612,2916.5771013801905,36.88037468820227
2023-01-09,Hydro,673.8035892876945,676.9095578408889,,Rain,9,Residential,1131.2712084067302,2,2023-01-09,Hydroelectric,7.127316141918351,Software,Pending,442.8256261443837,2686.2218894012494,33.18532729349588
2023-01-10,Hydro,1794.6551388133903,1012.7594792329265,West,Windy,10,Residential,830.3866311251901,999,2023-01-10,Hydroelectric,7.477223033402843,Mechanical,Resolved,379.50119888430254,2804.931164627075,485.41532872431185
2023-01-11,Hydro,1434.9471902413368,637.231310046972,North,Rain,11,Commercial,751.0997227143548,3,2023-01-11,Battery,5.377502719977439,Software,Pending,412.9525165376524,2986.2511211453752,732.9647856069986
2023-01-12,Hydro,996.3470372789737,1975.7444701596287,West,Rain,12,Commercial,853.1733669259565,3,2023-01-12,Battery,8.969108709684313,Electrical,Pending,346.4525150198228,769.5171728926157,1155.6111267116898
2023-01-13,Solar,595.3375254290355,1897.6099330786187,East,Rain,13,Residential,904.4099534569993,1,2023-01-13,Battery,11.24522066984367,Software,Pending,361.52445403303363,1369.8534510371787,1024.9430649097578
2023-01-14,Hydro,966.4734825734934,875.6036857300068,West,Cloudy,14,Commercial,755.9008278177242,5,2023-01-14,Wind Turbine,11.144037898427928,Electrical,Resolved,432.1380432043937,2347.2438844010467,668.8540595651225
2023-01-15,Wind,987.7749830401206,1538.9736759563955,South,Windy,15,Residential,2232.085468454223,4,2023-01-15,Wind Turbine,5.684652771147519,Software,Resolved,162.35060398663367,2179.255668745239,410.43999942249883
2023-01-16,Solar,1594.409267507096,1798.4166303320062,South,Rain,16,Residential,1965.3980907789032,2,2023-01-16,Battery,1.8022375271686855,Other,Resolved,270.2412336394132,715.5189471176086,1495.6867502365667
2023-01-17,Wind,1456.3362070328196,1366.0813391391127,East,Clear,17,Residential,403.17222914068384,1,2023-01-17,Battery,11.825673788066847,Electrical,Resolved,149.544248818821,2502.749437474668,639.2719533539595
2023-01-18,Wind,1830.8191138644897,1323.9234542874108,North,Clear,18,Commercial,891.0794604556762,1,2023-01-18,Battery,10.147327994128242,Software,Pending,494.45060359849117,905.9895439589837,677.0805364945132
2023-01-19,Wind,1208.3223877429239,849.0562799857453,South,Clear,19,Commercial,348.8064324666636,999,2023-01-19,Hydroelectric,1.9336208338375687,Other,Resolved,474.826702858976,904.3075600210823,245.43573178750378
2023-01-20,Wind,679.3913689074526,603.6195668797337,,Windy,20,Commercial,1395.9634106209644,2,2023-01-20,Wind Turbine,11.08968165009978,Electrical,Resolved,67.74206511582766,1749.8309418122167,1192.214323124894
2023-01-21,Solar,1569.8671808344925,1930.406000622989,South,Windy,21,Commercial,1347.6635329358312,999,2023-01-21,Hydroelectric,10.503808163714476,Other,Pending,367.5088276320598,1900.9378240725985,1040.523338672233
2023-01-22,Solar,1641.177572925346,1935.6897943194951,South,Clear,22,Commercial,2129.0172781375027,4,2023-01-22,Hydroelectric,6.466637656949829,Mechanical,Resolved,466.36174283704963,1866.2327611620901,331.1544191831406
2023-01-23,Wind,1341.9157963542443,1494.617404500892,North,Rain,23,Commercial,977.1099274963087,1,2023-01-23,Battery,7.299667511066686,Mechanical,Pending,131.2589053073001,547.0144609739382,123.57156842376405
2023-01-24,Wind,,1009.3991552303561,West,Windy,24,Commercial,2096.048617468737,1,2023-01-24,Battery,5.088531094506498,Electrical,Pending,305.57535374868326,2669.144329102027,1020.7489531120697
2023-01-25,Solar,1240.6933945465862,1026.1957981108906,South,Clear,25,Commercial,2429.5422839676107,5,2023-01-25,Solar Panel,1.1297588464533603,Software,Pending,-26.709359648987572,1017.1201149895064,981.7668214217028
2023-01-26,Solar,1284.099244072991,1647.826870135895,East,Clear,26,Commercial,494.4980914044225,4,2023-01-26,Solar Panel,4.35476827892786,Electrical,Pending,65.27569036360948,649.6902874635713,409.889290497314
2023-01-27,Solar,1141.3115275378245,1930.2319289217521,West,Rain,27,Residential,2041.9992468331925,1,2023-01-27,Hydroelectric,9.732814658877132,Other,Pending,363.83912026107794,2699.6198156462383,1426.2953433756156
2023-01-28,Hydro,538.1286901161428,1913.6926000374435,,Cloudy,28,Commercial,1597.9029737027993,4,2023-01-28,Wind Turbine,0.5532682645529329,Software,Pending,183.80705331764784,2880.259045220334,226.58683767135034
2023-01-29,Hydro,661.8371404899567,1736.7946506650794,North,Windy,29,Commercial,1356.1011274406453,2,2023-01-29,Battery,4.335240474448158,Mechanical,Pending,465.9782879194387,2627.744566616717,648.5022015639029
2023-01-30,Hydro,547.1437785301014,1509.3522161545748,,Rain,30,Commercial,1225.178713063165,3,2023-01-30,Battery,5.078939976295848,Software,Pending,486.9762103244155,2485.6934017571707,1415.4238802513983
2023-01-31,Wind,1454.6156168956707,588.8309422418306,West,Clear,31,Commercial,2026.270180677481,1,2023-01-31,Hydroelectric,6.680049433786113,Mechanical,Resolved,474.91992010104525,2069.153347725359,629.5909753891834
2023-02-01,Hydro,,716.6873782561128,West,Clear,32,Commercial,1706.594985343333,5,2023-02-01,Solar Panel,11.078339588746745,Software,Resolved,263.3963974958587,1787.314900644676,957.7889214961283
2023-02-02,Wind,1262.856036747054,1932.6144110696807,West,Rain,33,Commercial,2071.098268542596,2,2023-02-02,Wind Turbine,4.482978935208554,Software,Resolved,437.91919294519107,534.8642517608074,596.3915969441914
2023-02-03,Wind,1861.3497108891395,1450.6079484383233,,Windy,34,Commercial,2286.9323290885777,4,2023-02-03,Solar Panel,4.489961821806618,Software,Resolved,430.04722934078166,1402.8236752908865,411.32280352300506
2023-02-04,Hydro,873.9383437233124,465.1751351674389,West,Cloudy,35,Commercial,1657.9801666140424,999,2023-02-04,Solar Panel,8.981264353262107,Other,Pending,193.59521295946504,1306.2589959332477,1475.9664719397424
2023-02-05,Wind,1115.5743845534446,617.428045728953,,Cloudy,36,Commercial,2457.0179952032313,2,2023-02-05,Solar Panel,5.700506320232782,Other,Resolved,423.0119633678048,1001.3352161528808,614.0010094725645
2023-02-06,Hydro,1633.326707814573,1544.777919028292,West,Clear,37,Commercial,1637.7932689921474,1,2023-02-06,Solar Panel,3.0829554638097925,Electrical,Pending,66.65343562197168,2253.2343069591793,1341.1488055187017
2023-02-07,Hydro,843.1972482374337,458.3516133462608,East,Windy,38,Commercial,1700.6175075690217,4,2023-02-07,Battery,5.703054435525974,Electrical,Resolved,318.32144531692387,1638.8644847126811,344.93190883662925
2023-02-08,Solar,615.4698647431895,715.3332848388728,West,Cloudy,39,Residential,1520.5943387928965,3,2023-02-08,Battery,2.1198557343676985,Mechanical,Resolved,153.50397677946637,518.8247829506495,319.65705603762495
2023-02-09,Hydro,934.627179370652,1355.4107524548672,,Windy,40,Residential,500.20460031292663,2,2023-02-09,Solar Panel,2.528450344821568,Other,Resolved,104.25509859977547,894.4946452644906,46.701124326767044
2023-02-10,Solar,741.8319308810067,1591.6270761929438,South,Windy,41,Commercial,1898.073471830502,1,2023-02-10,Wind Turbine,6.231229386504017,Mechanical,Pending,84.62894073314412,2144.798661880909,977.5002380638276
2023-02-11,Hydro,1894.5464785138597,1525.7360781792909,West,Clear,42,Commercial,1504.3818751780454,5,2023-02-11,Hydroelectric,5.317642669302301,Electrical,Resolved,363.3299491451629,505.5533206238105,552.7895155856418
2023-02-12,Hydro,,820.0443606099236,South,Cloudy,43,Residential,1292.0029843154298,999,2023-02-12,Wind Turbine,11.02072786228315,Mechanical,Pending,202.94373369562976,2598.2586679316755,1296.5373747594556
2023-02-13,Solar,1450.1056347656352,1625.0957152234341,East,Rain,44,Commercial,2303.0368124872007,4,2023-02-13,Wind Turbine,4.667529839841281,Electrical,Pending,376.1450471879427,1636.8956229377306,709.8148600373357
2023-02-14,Solar,1807.1908852815766,841.4609943697201,North,Clear,45,Residential,955.510793392291,2,2023-02-14,Wind Turbine,7.1767660281975,Other,Resolved,79.41035335952407,1597.5837587819497,1452.2901418720826
2023-02-15,Hydro,1705.5081153486717,986.9095019627918,East,Cloudy,46,Residential,1451.9250072330246,2,2023-02-15,Solar Panel,7.771039311074599,Software,Resolved,191.88065202377464,1899.5010185806975,278.2882735546817
2023-02-16,Wind,779.8550883290537,1681.7108184447397,West,Cloudy,47,Residential,1834.8121172856195,3,2023-02-16,Battery,0.6505862507658369,Other,Resolved,292.77108156890176,2526.638607997903,1302.9347519334162
2023-02-17,Solar,,1521.8942834279042,South,Cloudy,48,Residential,2052.23790648253,3,2023-02-17,Wind Turbine,8.130679778192171,Mechanical,Pending,405.8254241775336,1239.0848613359212,1164.8952791876127
2023-02-18,Wind,1309.0133628734761,1851.2186273153936,South,Cloudy,49,Residential,1310.5629774815793,5,2023-02-18,Solar Panel,2.5474136190021412,Mechanical,Resolved,193.43862631943145,2130.6436119094715,1156.382766966078
2023-02-19,Wind,1711.1602327460937,1535.0612722955666,,Cloudy,50,Commercial,2152.601113041161,999,2023-02-19,Wind Turbine,11.552308650898734,Other,Pending,331.6511193966541,1827.4763027886358,1267.1748421753316
2023-02-20,Wind,1844.1369498852398,1387.7091955035282,South,Windy,51,Residential,1991.6190308938744,5,2023-02-20,Wind Turbine,2.209621369160799,Other,Pending,448.68998670628423,1020.9763294574376,1141.5359864144984
2023-02-21,Solar,977.0052124577958,604.5633669163526,,Clear,52,Commercial,445.7191512741049,1,2023-02-21,Solar Panel,5.268177422860773,Electrical,Resolved,327.13843468203703,2672.3009631589266,939.3304824471231
2023-02-22,Wind,665.0778867915151,1056.7310750480653,North,Windy,53,Commercial,400.8947860901925,1,2023-02-22,Battery,1.4815211829044044,Mechanical,Resolved,154.8317636391352,2453.050258338706,196.86731652358137
